date,number_of_strikes,center_point_geom
2016-11-09,1,POINT(-89.9 31.0)
2017-04-27,60,POINT(-111.3 46.5)
2016-08-31,5,POINT(-117.7 47.0)
2017-05-31,7,POINT(-91.8 23.7)
2017-01-04,69,POINT(-97.4 42.9)
2016-11-12,22,POINT(-98.4 24.2)
2016-01-21,14,POINT(-71.5 46.5)
2017-11-28,12,POINT(-106.9 34.3)
2017-12-21,1,POINT(-95.6 47.0)
2016-08-18,37,POINT(-109.3 22.2)
2017-06-09,29,POINT(-103.9 22.3)
2017-08-13,2,POINT(-81.7 48.1)
2017-04-13,9,POINT(-110.1 43.2)
2017-11-24,44,POINT(-86.2 24.4)
2016-03-18,6,POINT(-113.5 46.7)
2017-07-16,19,POINT(-110.5 45.6)
2017-06-13,14,POINT(-118.8 36.1)
2016-10-16,35,POINT(-88.5 25.0)
2016-08-05,1,POINT(-70.5 32.7)
2016-04-09,34,POINT(-87.2 36.5)
2016-05-28,3,POINT(-73.8 26.3)
2017-01-19,1,POINT(-93.7 45.8)
2016-06-03,19,POINT(-86.0 45.0)
2017-01-29,6,POINT(-73.7 20.7)
2017-01-10,25,POINT(-115.7 20.6)
2016-04-11,13,POINT(-90.1 33.1)
2017-09-18,19,POINT(-91.2 47.7)
2016-04-01,24,POINT(-118.3 43.0)
2017-02-14,53,POINT(-112.2 48.8)
2017-02-09,35,POINT(-92.4 28.5)
2016-01-21,14,POINT(-95.1 49.0)
2017-09-23,12,POINT(-102.8 35.9)
2017-02-11,22,POINT(-85.1 38.3)
2016-01-19,27,POINT(-102.0 26.9)
2017-06-19,4,POINT(-81.6 33.8)
2017-06-21,1,POINT(-79.5 42.7)
2016-06-01,13,POINT(-87.8 30.5)
2016-10-27,3,POINT(-106.1 22.1)
2017-02-16,7,POINT(-79.9 45.1)
2016-07-20,18,POINT(-107.4 21.0)
2016-05-18,4,POINT(-104.8 22.9)
2016-01-24,1,POINT(-89.6 39.1)
2016-01-12,17,POINT(-85.5 40.1)
2016-05-14,13,POINT(-101.4 36.5)
2016-03-21,8,POINT(-90.4 22.3)
2016-12-20,13,POINT(-107.6 43.3)
2016-03-10,24,POINT(-80.3 37.9)
2016-07-22,3,POINT(-70.4 40.1)
2017-08-13,6,POINT(-85.1 20.1)
2016-10-05,32,POINT(-104.0 22.6)
2017-12-11,23,POINT(-102.6 41.6)
2017-01-13,7,POINT(-118.5 40.3)
2016-10-20,11,POINT(-87.7 26.0)
2017-02-18,3,POINT(-90.0 35.1)
2017-03-03,6,POINT(-72.3 29.4)
2016-06-04,37,POINT(-99.9 38.7)
2017-08-10,12,POINT(-73.4 43.9)
2017-12-31,21,POINT(-82.0 25.6)
2016-10-03,4,POINT(-105.6 39.5)
2016-09-21,5,POINT(-119.2 33.0)
2016-02-18,57,POINT(-83.7 25.8)
2017-09-01,37,POINT(-95.2 31.9)
2016-10-19,32,POINT(-71.9 23.1)
2016-01-21,8,POINT(-118.9 39.7)
2017-03-19,17,POINT(-93.9 49.9)
2017-06-18,14,POINT(-80.6 42.0)
2017-04-16,63,POINT(-80.5 45.6)
2016-05-17,6,POINT(-86.4 26.8)
2016-08-17,59,POINT(-100.3 23.2)
2017-02-08,25,POINT(-116.6 20.1)
2016-12-22,11,POINT(-104.9 41.9)
2017-06-24,7,POINT(-87.4 44.7)
2016-01-21,29,POINT(-81.4 25.7)
2017-09-02,35,POINT(-79.1 34.3)
2017-07-28,9,POINT(-81.3 37.6)
2017-10-06,4,POINT(-103.8 48.7)
2017-06-10,14,POINT(-85.3 47.4)
2016-04-14,13,POINT(-71.5 20.5)
2017-09-14,26,POINT(-113.2 21.5)
2016-12-01,73,POINT(-83.4 48.8)
2017-02-27,16,POINT(-99.5 21.7)
2017-09-14,27,POINT(-108.8 37.5)
2016-01-04,9,POINT(-104.0 22.4)
2017-04-13,19,POINT(-111.7 40.0)
2017-10-25,3,POINT(-79.2 25.5)
2017-07-07,34,POINT(-100.6 21.0)
2017-06-21,9,POINT(-73.1 28.4)
